ID,name
person_1,"Adam the Carthusian, fl. ?"
person_2,"F.H. of 'Newchurch', fl. c. 1454"
person_3,"Bylby, Gilbert, prior of Rewley Abbey (fl. 1480)"
person_5,"M.N., translator of Marguerite Porete, early (?) 15th cent."
person_6,"G., Mr. (?), fl. c. 1479"
person_7,"Nicolaus, scribe, active in Florence (?), c. 1415–25"
person_8,P.E.F.A. (?='Paulus Erizzo Antonii Filius' (fl. 1473–1503?)
person_9,"T.M., fl. 1590"
person_10,"W.B., 17th cent."
person_11,"P.D., fl. c. 1450–75"
person_12,"... Dep ... etta, early 19th cent."
person_13,"Fairfax, Thomas, 13th Lord Fairfax of Cameron (d. 1964)"
person_14,"Lloyd-Mostyn, Edward, 2nd Baron Mostyn (d. 1884)"
person_15,"Throckmorton, Sir Robert (d. 1791), 4th Baronet"
person_16,"Pudsey, Mary (d. c. 1810)"
person_17,"Throckmorton, Sir Nicholas William George, 9th Baronet, –1919"
person_18,"Hales, Stephen (fl. 1554), of Closworth, Somerset"
person_19,"Hand, Francis, of Clare Hall in Halifax, late 16th cent."
person_20,"Bandis, Andreas (or Nicola) de, fl. c. 1450"
person_21,"A. G., 18th cent. (?)"
person_24,"Soriano (Suriano), Antonio, patriarch of Venice 1504–08"
person_25,"Orti (Ortis), Agostino, bishop of Satriano 1500–1521"
person_26,"Poelgheest, Gherardus, abbot of Egmond, fl. c. 1465"
person_27,"Folquin, abbot of Metz, c. 1048–78"
person_28,"Walton, Abel, of Stourbridge, Worcestershire"
person_29,"Heknin, Adam (?), 17th cent."
person_30,"Mottrum (Mottram), Adam, precentor of Salisbury (sed. 1397–1415)"
person_32,"Wirrnberch, Agneska de, early 15th cent."
person_33,"Nicosiensis, Agostino, 18th cent."
person_34,"Spinelli, Agostino, 16th cent."
person_35,"Cipriano di Martino, Agostino di, of Venice, fl. c. 1568"
person_37,"Pontecello, Albertinus de, notary, fl. c. 1300"
person_40,"Stabulo, Albertus de, 'de Alamania', fl. 1446"
person_41,"Alessandri, Alessandro, son of Alvise, 17th cent."
person_42,"Ziliol, Alessandro, fl. 1465"
person_43,"Capel, Alex., 15th cent."
person_44,"Tyretha, Alexander son of Johannes, of Treviso, fl. c. 1467"
person_45,"Alexander, 3rd cent. B.C."
person_46,"Terentius, Alexander, late 16th-early 17th cent."
person_47,"Alexander of Stainsby (d. 1238), bishop of Coventry and Lichfield"
person_50,"Pfeiffer, Alfred, of Vienna, 1858–1913"
person_51,"Malemeyns, Alice, fl. 1296"
person_54,"Pudsey, Ambrose (1565–1623)"
person_56,"Sansonus, Angelo, secretarius, fl. 1533"
person_59,"Laude, Andreas de, fl. c. 1463–4"
person_60,"Gerardi, Andreoccius, of Siena, miles, fl. c. 1465"
person_61,"Johnson, Andrewe, 16th cent."
person_62,"Andronicus Contostephanus, c. 1132/3 - after 1183"
person_63,"Aquilano, Angelo, fl. c. 1460"
person_64,"Vadius, Angelus, of Novigrad (?), fl. c. 1451"
person_65,"Barozzi, Angelo, patriarch of Grado 1211–38"
person_66,"Plantagenet, Anne (Anne of York), duchess of Exeter, 1439–76"
person_67,"Ant. V, fl. 1491"
person_68,"Hanvbeel, Anthoine, of Ghent, 16th cent."
person_69,"Jacobus, Anthonius, magister, writer on logic (fl. before c. 1450?)"
person_70,"Combe, Anthonii de, fl. c. 1450"
person_71,"Bercin, Anthonius, canon of Besançon, fl. 1523"
person_72,"Anderson, Anthony, of 'Ebaswytch', Lincs., 16th cent."
person_73,"Minowen, Anthony, 16th cent."
person_75,"Antonellus dictus Capadocia, fl. 1470"
person_76,"Monrivello, Antonio, canon of Besançon, fl. 1523"
person_77,"Priuli, Antonio, of Venice, fl. c. 1469"
person_79,"Manfredi, Antonio de, of Florence, fl. c. 1449"
person_80,"Petrucci, Antonio di Cecco Rosso, of Siena, 1400–71"
person_81,"Antonius, 15th–16th cent. (?)"
person_82,"Tyretha, Antonius, of Treviso, fl. c. 1467"
person_83,"Farina, Antonius, notary and citizen of Ferrara, fl. c. 1462"
person_85,"Levita, Antonius, of Padua, fl. 1447"
person_87,"Ursi, Antonius, lic. theol. Paris 1452"
person_88,"Praga, Antonius de, fl. 15th cent., 2nd quarter"
person_89,"Apollonios, strategus, fl. 114"
person_90,"Apollonius, a governor, 3rd cent."
person_92,"Elias, of Ibion, (?), archdeacon, 5th–6th cent."
person_94,"Oriens, Aringherius, fl. 15th cent., 3rd quarter"
person_95,"Ariston, 3rd cent. BC"
person_96,"Arnaldo Guillermo de Petra, student at Calatayud, 15th cent., 2nd half"
person_97,"Hemminck, Arnoldus, 'grammaticus', of Dülmen, 16th cent."
person_98,"Diest, Arnoldus de, 'cognomento Kemmer', 14th cent, 2nd half"
person_102,"Marinoni, Astolfino de, Italian humanist, late 14th-early 15th cent."
person_105,Augustinus Scanella (d. 1450)
person_106,"Aunchis, d. c. 126"
person_107,"Aurelia Ammonarion, fl. 247"
person_108,"Aurelios Heron, fl. 339"
person_109,"Aurelius Archelaus, beneficiarius, 2nd cent."
person_110,"Aurelius Isidoros alias (?) Herrennius, strategus of Antinoopolite, 3rd cent."
person_112,"Stawell, Avicia de, of Somerset (?), fl. 1345"
person_113,"Aystrud, fl. 9th cent, 1st half"
person_114,B. A. P. M.
person_116,"Lignamine, Johannes Baptista de, bishop of Concordia, d. 1455 (?)"
person_118,"Harry, B...dy ap, 16th cent."
person_119,"Bartholomeus......monia, friar, 15th cent. (?)"
person_121,"Baussancourt (?), baron (1818)"
person_122,"Squara, Bart., fl. 1474"
person_123,"Bassus, Bartholomaeus, notary public of Treviso, fl. 1496"
person_124,"Fabri, Bartholomaeus, of Picardy, fl. 1453"
person_125,"Helvetius, Bartholomaeus, curate of St. Mary, Veldkirchen, Carinthia, 1589"
person_126,"Paruta, Bartholomeo, fl. c. 1450"
person_127,"Quisleriis (sic), Bartholomaeus de, of Bologna, fl. 1466"
person_128,"Bartholomeo de Pic[?e]got[is], friar, 15th cent. (?)"
person_129,"Brokesby, Bartholomew, of Frisby-on-the-Wreak, Leicesterhire, –1448"
person_134,"Strozi, Bartolomeo, fl. before 1457"
person_135,"Zabarella, Bartolomeo, archbishop of Spalato (Split) (1428–1439)"
person_136,"Mairas, Bartolomeo de, fl. 15th cent., 2nd quarter"
person_137,"Carpi, Bartolomeo de, of Vicenza, 15th cent."
person_139,"Basset, family, of High Wycombe"
person_140,"Bateman, family, of Middleton Hall, Youlgrave"
person_141,"Ugstall, Batho de, 16th cent."
person_142,"Sansone, Battista, of Padua, fl. c. 1400"
person_144,"D'Ailly, Baudoin (Beaugeois), Vidame of Amiens, 1355–1415"
person_145,"Ross, Beatrice, of London (?), fl. before 1414"
person_146,"Beauchamp, family, earls of Warwick"
person_147,"Benedictus Bursa, fl. c. 1450"
person_148,"Spineli, Benetto, 16th cent."
person_149,"Berlaymont (Berlaimont), family, of Berlaimont, Hierges, Péruwelz, and Beauraing"
person_154,"Carnesecchi, Bernardo di Cristofano, fl. 1478"
person_155,"Bertholdus de Marmore, vicar of St. Kylian, Würzburg, fl. 1172–95"
person_157,"Bezborodko Master(s), fl. 1490"
person_158,"Bible Master of the First Generation, c. 1430"
person_159,"St. Calais (St. Carilef), William of (c. 1030–1096), bishop of Durham"
person_161,"Bledian, 10th cent."
person_163,"Bonifazio, fl. 1456"
person_164,"Borstall, 15th cent."
person_165,"Dixon, Bright, fl. c. 1687–96, curate of Leeds"
person_166,"Isola della Scala, fr. Stephen of, fl. 1646–76"
person_168,"Cooke, Bryan (1756–1821), of Owston, Yorks."
person_169,"Bull (?), fl. 1891"
person_170,"Butt (?), fl. 1891"
person_171,"Bell, C. F."
person_172,"Hudson, Rev. C. H. Bickerton, fl. 20th cent., 1st half"
person_173,"Reynell, C. H., of Memphis, Tennessee, early 20th cent."
person_174,"Fairfax, C. I. [Charles, d. 1673?]"
person_175,"Inglis, Charles, MD, 19th cent."
person_177,"Duc, C. L., of Lille"
person_178,"Ricketts, Coella Lindsay (1859–1941), calligrapher and illuminator, of Chicago"
person_184,"Sotheby, Charles William Hamilton, of Ecton Hall (1820–1887)"
person_186,"Rose, C. H., fl. c. 1916–1930"
person_187,"Caesar Master, mid 15th cent."
person_188,"Beldemandis, Candus, nephew of Prosdocimus, fl. 1435"
person_189,"Redway, Capt. G. E., R. N., fl. 1932"
person_190,"Littledale, Capt. H., 19th cent."
person_191,"Cane, Francis du, captain, fl. 1854–8"
person_192,"Carpenter, 15th cent., 2nd half"
person_193,"Cavazzi della Somaglia, family, of Milan"
person_194,"Howard, Charles, fl. 1928"
person_195,"Martin, Charles, of Dartington, fl. 1872"
person_196,"Reynell, Charles W[eatherby?] [of London, printer, d. 1892?]"
person_197,"Willestrop, Charles, of Wilstrop, late 16th cent."
person_198,"Chatten, 18th cent."
person_199,"Froddinggame, Christofer, 16th cent."
person_200,"Duodo, Christoforo, 1418–1496, of Venice"
person_201,"Luino, fr. Christoforus de"
person_202,"Feelsen, Christopher"
person_203,"Peyton, Christopher, fl. 1547"
person_204,"Tootell, Christopher, late 16th cent."
person_205,"Mayhew, Lady Cicely, 20th cent."
person_206,"Morelez, Citi, fl. 1069, of Sta. Maria in Villasirga"
person_208,"Morlot, François Claude, O.Cist., Abbot of l'Esclache, near Clermont (Puys de Domes), fl. 1815"
person_209,"Claudios alias Ptolemaios, 2nd cent."
person_210,"Charnells, Clemencia widow of William de, of Snareston (Leics.), late 13th cent."
person_211,"Clifford, family, of Frampton Court, Glos."
person_212,"Cogger, family"
person_213,"Towneley, Col. Charles (1803–76)"
person_214,"Taylor, Col. S. J. du Plat (1865–1936)"
person_215,"Howard, Col. Henry Richard Lloyd, of Wygfair, Denb. (1853–1922)"
person_216,"Rassatti, Columbus, mid–15th cent."
person_217,"Casali, Conradus de Arditis de, fl. 1461"
person_218,"Cella, Conradus de, late 12th cent."
person_220,"Cope, family, of Bramshill, Hants."
person_221,"Almeni, Cosimo, of Florence, cavaliere of the Tuscan Order of S. Stephano, 17th cent. (?)"
person_222,"Iusta, countess [of Carrión (?)], fl. 1069"
person_223,"Bruschi, Crispolto, fl. 1608"
person_229,"Cunradus, 12th cent. (?)"
person_230,"Henley Welch, D. F., esq., of Leck Hall, Carnforth, Lancs. (d. 1952 (?))"
person_231,"Julianus, D., of Padua, 15th cent., 2nd half"
person_233,"Daiph antus , 3rd cent. BC"
person_234,"Hughson, dame Thomas, of Norwich, 16th cent."
person_235,"Askew, David, of Pallinsburn, Northumberland (1863–1912)"
person_236,"Swan, David, fl. 1791–3"
person_238,"Birstorff, Desiderius (Didier) de, fl. c. 1457–1510"
person_239,"Despenser, family of"
person_240,"Devereux (unidentified), viscount Hereford"
person_242,"Castello, Dionisius de, priest of S. Giovanni in Conca, Milan, fl. 1464–5"
person_243,"Dionysius, late 1st cent."
person_244,"Dioskurides, 3rd cent. BC"
person_249,"..., dom. Wylliam, 15th–16 cent. (?)"
person_251,"Pollini, Domenico di Niccolò (1395–1473)"
person_252,"Narnia, Dominicus Cassii de, mid–15th cent."
person_253,"Bertrandus, Dominus"
person_254,"Bragadenus, dom. Dominicus, lecturer at Venice c. 1456"
person_255,"Sefton, dom. Henricus, 15th cent."
person_256,"Ato, bishop of Ostia [possibly Odo II, fl. c. 1094–1106, but more probably spurious]"
person_257,"W ulf spett, dom. John, monk of Bury St. Edmunds (?), 15th cent."
person_259,"Varona Lapata (Zapata (?)), Luis, 17th cent."
person_260,"Okhellay, Donatus, monk of Monasterevin, fl. 1501"
person_261,"Fetiplace, Dorithe, 16th cent."
person_262,"Humberd, Dr. Charles, 18th–19th cent. (?)"
person_263,"Taylor, Dr. Charles (d. 1836)"
person_264,"Prattinton, Dr. Peter, of Bewdely, 1776–1840, antiquary"
person_265,"Droet, 15th cent."
person_267,"Pelham-Clinton, Henry Pelham Archibald Douglas (1864–1928), 7th Duke of Newcastle under Lyne"
person_268,"Milan, dukes of"
person_269,"Clinton, family, Dukes of Newcastle under Lyme"
person_270,"Gardner, E. B."
person_271,"Crawshaw, Edward (1842–1922), of Tollington Park, London"
person_275,"Ettlinger, Mrs. E., fl. 1954"
person_276,"Dring, E. H., manager/managing director of Quaritch, fl. 1913–27"
person_277,"Moor, E. L., fl. 1980"
person_278,"Dring, E. M. (d. 1990), managing director of Quaritch"
person_279,"E. P., fl. c. 1701"
person_280,"Jacobsen, E. P., 19th–20th cent."
person_282,"Hope, family, earls of Hopetoun"
person_283,"Goxd , Edmond, 14th cent."
person_284,"Felton, Edmund (d. 1542), of Pentlow, Essex"
person_285,"Audley, Edmund (c. 1439–1524), bishop of Salisbury"
person_286,"Sancto Andrea, Edmund de, canon of Worksop, 14th–15th cent."
person_287,"Charlton, Edward, M.D., of North Tynedale, fl. 1861–70"
person_289,"Langford, Edward, fl. 1611"
person_290,"Powell, Edward, 17th cent."
person_291,"Edwardus, 15th cent."
person_292,"Egino, monk of Niederalteich (?), 9th cent."
person_293,"Gratus, of Ravenna (?), fl. c. 550"
person_294,"Pudsey, Elizabeth (d. 1620)"
person_295,"Ellesworth (Elsworth), family"
person_297,"Tethour, Elysabethe, of Yorkshire, late 16th cent."
person_298,"Burges, Emmota, of New Windsor (d. 1448)"
person_302,"Erizzo, family, of Venice"
person_303,"Wittelsbach, Ernest, 1500–60, administrator (1540–54) of Salzburg"
person_305,"Ernouls of Amiens, early 14th cent."
person_306,"Chasser, Eug., of Grenoble, fl. 1883"
person_308,"Eutyches, early 1st cent."
person_309,"Brooke, F. C. [Francis Capper, d. 1886 (?)]"
person_310,"F. Castella fu G., Naples, 20th cent."
person_311,"Norris, Francis Edward Boshear (d. 1966)"
person_322,"Fouyt, F., 16th cent."
person_323,"Haldinstein, F. W. (1894–1917 (?))"
person_324,"Potts Hicks, F. W., fl. 1950"
person_325,"F.S.G.M., 15th cent. (?)"
person_326,"Wysbeche, fr. John, 14th cent."
person_327,"Fabian (before 1167 - 1223), subprior of St. Albans Abbey"
person_332,Filippo da Massa
person_333,"Finnlaech Ó Cathasaigh, 15th cent."
person_334,"Fitznell, family, of Ewell, Surrey"
person_335,Four Masters (medical glossators)
person_336,"Four Masters (commentators on the Rule of St. Francis, 1242)"
person_337,"Flavius Panodorus, cancellarius, 6th cent."
person_338,"Tyretha, Floravantus son of Johannes, of Treviso, fl. 1467"
person_339,"Hodgkin, Fly:(?), 17th cent."
person_340,"Forese de Sacchettis of Arezzo, fl. 1419"
person_342,"Anastasio, OFM, 13th cent. (?), translator of Virgil's Aeneid (?)"
person_343,"Gassino, fr. Bartholomeus de, of Pavia (?), fl. 1460–1"
person_344,"Estienne, fr., of Boissier Isaac (?), fl. 1566"
person_345,"Bugnies, fr. Julien de, of Boissier Isaac (?), fl. 1566"
person_346,"Lamesa, fr. Lazarus de, of Venice (?), fl. 1473"
person_347,"Milan, fr. Philippus of, fl. 1493"
person_348,"Alemania, fr. Stephanus de, of Villanova, fl. 1500"
person_349,"Fortunato, fra, of Monte Oliveto, fl. 1459"
person_350,"Padova, fra Gabriele de, 15th cent."
person_351,"..., Francesco, of Florence (?), fl. 1461"
person_353,"Foscarini, Francesco, podestà of Bassano , 1533"
person_354,"Maripetro (Malipiero), Francesco, podestà of Noale near Treviso , 1548"
person_358,"Medici, Francesco di Giuliano de', fl. 1483"
person_359,"Coleridge, Francis, of Ottery St. Mary, fl. 1847"
person_360,"Daunde, Francis, of Yorkshire, late 16th cent."
person_363,"Baux (Balso), Francis (Francesco) de, duke of Andria, fl. c. 1450"
person_364,"Petrinus, Franciscus, fl. 1453"
person_365,"Taurus, Franciscus, of Rimini, fl. 1470"
person_366,"Eneaxio, Franciscus de, of Padua, doctor artium, fl. 1463"
person_367,"Gratiolis, Franciscus de, canonist, of Imola, fl. c. 1400 (?)"
person_368,"Goadby, Frank Reginald Lindsay (1899–1985)"
person_369,"Nicot, François, fl. 1732"
person_370,"Bellinus, fr., fl. 1469"
person_371,"Hieronymus, fr., 'eremita de Ytalia' (active in France), fl. 1460–1"
person_372,"Schwayckofer, fr., monk of Sts. Ulrich and Afra, Neresheim, Württemburg, fl. 1534"
person_373,"Vitalis, fr., canon regular of the S. Maria a Vado Ferrara, fl. 1484"
person_375,"Perkins, Frederick, of Chipstead Place (1780–1860)"
person_376,"Paul, fr., of Perpignan, fl. 1490"
person_377,"Panzano, Fruosino da, of Florence, fl. 1450"
person_378,"Lowe, G. B., fl. 1931"
person_379,"Cooke-Yarborough, George Eustace, of Campsmount, Yorks. (1876–1938)"
person_381,"Driver, G. R., fl. 1930"
person_382,"Sumner, Gilyatt, of Woodmansey, Yorks. (1793–1875)"
person_383,"Vale, G., Head of Classics at Reading School, 20th cent."
person_384,"Pacy, G. de, escolastre and canon of St. Peter, Lille, fl. 1435"
person_385,"G.R., London binder, fl. c. 1523–35"
person_387,"Strata, Gaspare de la, of Lombardy, 15th cent."
person_388,"Poeta, Gentilis, citizen and notary of Bologna, fl. 1449"
person_389,"Stawell, Geoffrey de, of Somerset (?), fl. 1345"
person_390,"Tressy (Troissy), Geoffroy de, bishop of Meaux (sedit 1208–13)"
person_391,"Hodgkin, George, 17th cent."
person_392,"Felton, George, of Pentlow, Essex, 16th cent."
person_393,"Brackenridge, George W., early 20th cent."
person_394,"Brudenell, George, of Deene Park, Northants."
person_396,"Ford, George, esq., of Devon (?), 16th cent."
person_397,"Longford, George, fl. 1720"
person_399,"Newdigate, George, 17th cent. (?)"
person_400,"Johnson, George, 17th cent."
person_401,"Effrem, Georgius, of Cologne"
person_402,"Georgius Cl., of Padua (?), 15th cent"
person_403,"Georgius Junius, of Milan (?), 15th cent."
